id,popularity,acousticness,danceability,energy,liveness,speechiness,valence,Assignments,DistancesToClusterCenter no.0,DistancesToClusterCenter no.1,DistancesToClusterCenter no.2,DistancesToClusterCenter no.3,DistancesToClusterCenter no.4
2Gy3XMLbBxACZ4tXdFRGr7,60,0.413,0.721,0.819,0.196,0.0269,0.867,2,0.23519256684143,0.4835549937674,0.0262427370752804,0.235918168442518,0.533087543051346
2QVzUws1l5mzZ4v46tGHrC,66,0.0127,0.561,0.756,0.233,0.0287,0.702,2,0.321323398953784,0.424494176956751,0.126834174665155,0.148327935217107,0.593690442256281
1zWZvrk13cL8Sl3VLeG57F,68,0.0318,0.647,0.857,0.0212,0.0397,0.771,2,0.337965585400038,0.61373068716486,0.156360536318157,0.264186326002971,0.625936031676511
05ZACkzW8YbRq3eFgIfSNB,72,0.1,0.692,0.809,0.185,0.0255,0.927,2,0.248619554721036,0.48759921247369,0.0295045974323953,0.224337037795802,0.545533555423526
46ZfPS5VpSQVU5gb82hg3K,67,0.00172,0.462,0.977,0.352,0.045,0.746,3,0.503351945529697,0.40337809875489,0.318150921619854,0.0908298954664968,0.731675664549313
2Hx66vdWgA4DE0yqqktQiT,5,0.0886,0.663,0.53,0.154,0.0301,0.269,0,0.0670809491590231,0.514497261749222,0.165208637759536,0.394723907796558,0.382768582041985
6nUKELHbV6Tdj5OuQbksKH,39,0.129,0.539,0.828,0.12,0.0378,0.378,3,0.374148292239633,0.535771717097197,0.154519563644901,0.144317793746934,0.654698089438119
6bZq9yf23N1xXVmNeyhDsb,6,0.0881,0.69,0.781,0.176,0.0307,0.853,2,0.233260940028501,0.492752794711654,0.015893756066862,0.240362940685752,0.533166690285295
2TR7A4ulH9R1PNwMyd8o8U,68,0.016,0.555,0.931,0.405,0.0367,0.723,3,0.438266027413152,0.335182756229602,0.273154861156051,0.132663947355252,0.667102481308387
68A4qiCqD9y39N3WNEsJVD,12,0.0458,0.677,0.847,0.0763,0.0396,0.806,2,0.295773557233602,0.572849799199629,0.0994204168464544,0.245765239884395,0.592072095734659
0uRlP6bHbSgBGklmaCMqG7,60,0.00647,0.414,0.843,0.194,0.0531,0.572,3,0.4783779624622,0.490364960892991,0.270738935239097,0.0415652590697703,0.72851468853613
1NyLnTzSyZR5qgLdoyeu1l,2,0.00327,0.545,0.812,0.286,0.049,0.761,3,0.37248373439173,0.390782415781088,0.187991371574301,0.11360861180899,0.628068850510566
3BuPop8SzLG2Q88TJcFAjp,56,0.0477,0.59,0.94,0.379,0.0409,0.732,3,0.410757949107054,0.355491679198468,0.238832422670637,0.118858578468314,0.650272939940809
0H9Q7Vzu8nYRDBZYKbtU8d,60,0.0051,0.478,0.929,0.348,0.032,0.749,3,0.47782445189453,0.385780823605273,0.295118008741169,0.0877454285364282,0.709502370253168
6Ymvlzom4TQeoKqAWsZRD8,65,0.0697,0.554,0.794,0.63,0.035,0.79,1,0.503139793500619,0.11373570078267,0.424619845500073,0.352982783432049,0.650027206822504
2BeispT0rpKZX9RhI1H8vL,8,0.0718,0.615,0.65,0.101,0.0347,0.548,2,0.207050359896016,0.542552878635523,0.0487214205722368,0.290180083039871,0.515769883061
19PJf5HzeiVW0mdk82Swmn,10,0.361,0.526,0.661,0.087,0.0333,0.556,2,0.289372991546487,0.546005933800143,0.0763992281689165,0.224238107480002,0.586315376797254
3qtZwBkPpK2Q8fcYRHm4AX,57,0.405,0.541,0.505,0.131,0.0254,0.367,2,0.140545238410164,0.499262527600233,0.090949913477494,0.326460893152715,0.450834517758479
3wx2kQWPn9p5UppQbNhPAk,66,0.0951,0.514,0.951,0.349,0.0603,0.838,3,0.459258852272703,0.38718925001686,0.274769257029558,0.0785760035575605,0.695925004883242
3M31S6f0z8S3nkFh3eS06W,63,0.0325,0.639,0.846,0.116,0.0439,0.475,2,0.311592951169154,0.54095377294753,0.0934677842258939,0.2010099159286,0.604515058895654
4O1CExxinEpKZi3861NlTK,62,0.0733,0.549,0.866,0.25,0.0476,0.767,3,0.386279461288278,0.435393661052952,0.182585592722921,0.0774418408662351,0.649522383455585
57EH1IvuQYjfvUQOGTypd4,9,0.0319,0.573,0.85,0.081,0.0361,0.347,2,0.366848234417971,0.568974350880353,0.154390523990891,0.187136346149055,0.65083047241463
63QCk4cHK1jEdCJsGqOx0D,5,0.0142,0.557,0.737,0.314,0.0476,0.817,3,0.340228120818805,0.345767828077106,0.191306379601675,0.180269219847152,0.585825799919608
