id,name,popularity,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence,loudness,tempo
06gD2ZtK3Dzc1BYqWExQJJ,Broken Halos,72,0.133,0.607,0.575,2.52e-06,0.0566,0.0252,0.504,-7.066,78.341
7i2DJ88J7jQ8K7zqFX2fW8,Now Or Never,76,0.107,0.67,0.585,1.11e-06,0.131,0.0354,0.447,-4.861,110.03
5790D9sgPum0aE59ES7X1v,RIVA (Restart the Game) - Radio Edit,53,0.106,0.615,0.738,4.61e-06,0.0855,0.0554,0.54,-5.767,124.022
0X0pZyLFGIhkPHQjCYchdM,Genius,31,0.0743,0.661,0.532,1.33e-05,0.067,0.0529,0.391,-7.97,125.108
7ARveOiD31w2Nq0n5FsSf8,Perfect Places,68,0.00241,0.622,0.58,2.95e-05,0.112,0.0504,0.512,-5.273,104.41
2bDENJyfbxj0neGiXUFvIX,Legendary,73,0.0458,0.537,0.656,2.54e-06,0.112,0.0411,0.45,-5.863,141.873
5wane5dFpp8xgriui6y0c7,Ol' Red,60,0.146,0.664,0.556,3.91e-06,0.113,0.0365,0.494,-7.713,75.049
3NBDgwEAGMj0aKRsU8zoO9,Rivers,59,0.149,0.574,0.809,6.99e-06,0.129,0.0565,0.471,-5.787,122.005
5CG9Ps5ynNjpKJHmwc95pa,Somewhere On A Beach,66,0.000598,0.573,0.635,0.0,0.0845,0.0275,0.447,-6.621,144.031
0SuLAslEMFZAXf0SwY7syi,All Time Low,75,0.0508,0.584,0.569,0.0,0.0924,0.166,0.501,-4.259,89.779
2MGKDu7orDRI1eADeiJAT5,Slow Down,59,0.228,0.583,0.544,6.25e-05,0.0965,0.0319,0.421,-6.109,154.084
25KybV9BOUlvcnv7nN3Pyo,In The Night,71,0.0796,0.505,0.68,0.0,0.0465,0.0713,0.539,-4.99,168.021
4ICSwxlVyGaTquNqblL7Y9,I'm Gonna Be Somebody,49,0.173,0.563,0.668,7.15e-06,0.12,0.0267,0.543,-6.666,76.406
65hRZOQkVjmBdusz1N7aOv,Save The World,67,0.0144,0.507,0.665,0.0,0.0759,0.0474,0.4,-7.598,126.879
6yFD0TSZvxydqGxLNDjZUO,Come A Little Closer,48,0.0644,0.579,0.57,0.00636,0.105,0.0227,0.368,-5.869,80.028
12GEpg2XOPyqk03JZEZnJs,It Ain’t Me (with Selena Gomez),71,0.119,0.64,0.533,0.0,0.0864,0.0706,0.515,-6.596,99.968
7vidktgNZFQylTgH1GEnMs,Cold as Ice,66,0.0987,0.516,0.486,1.48e-06,0.143,0.0272,0.471,-11.81,132.542
1sUTfgduT0WIQO8kXKXxLC,"Blaze Of Glory - From ""Young Guns II"" Soundtrack",66,0.0598,0.553,0.611,2.33e-05,0.0958,0.0348,0.37,-9.967,78.683
6RSNKGdv3nDTHqgw4bdzyF,Yours,74,0.119,0.555,0.722,0.0,0.0861,0.034,0.559,-6.005,134.058
46ydq5g3k17iLJs3qMDvO6,Hurts So Good,72,0.084,0.675,0.609,0.0,0.0957,0.0586,0.378,-5.027,120.039
4oDZ5L8izBals6jKBJDBcX,Your Love,71,0.121,0.579,0.654,3.62e-06,0.0673,0.0553,0.616,-12.421,129.537
0SjaL4cjD4PXOY4orbZSMZ,Shine,52,0.189,0.667,0.716,0.0,0.104,0.0349,0.493,-5.21,108.002
2NEBP8SXEqwZt2PRdPXXuy,Everything's Gonna Be Alright,66,0.0721,0.764,0.587,6.45e-06,0.094,0.0298,0.494,-7.002,89.98
4f3fb3alVLFc8Ga4ncpg7x,Kiss Somebody,69,0.136,0.57,0.684,0.0,0.205,0.0465,0.531,-7.054,89.012
