id,name,popularity,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence,loudness,tempo,Assignments
06gD2ZtK3Dzc1BYqWExQJJ,Broken Halos,72,0.133,0.607,0.575,2.52000000000021E-06,0.0566,0.0252,0.504,0.555901588290252,0.0333387345053875,5
5790D9sgPum0aE59ES7X1v,RIVA (Restart the Game) - Radio Edit,53,0.106,0.615,0.738,4.60999999999994E-06,0.0855,0.0554,0.54,0.690750545001557,0.49595924815685,7
5wane5dFpp8xgriui6y0c7,Ol' Red,60,0.146,0.664,0.556,3.9100000000002E-06,0.113,0.0365,0.494,0.488736634485622,0,5
7i2DJ88J7jQ8K7zqFX2fW8,Now Or Never,76,0.107,0.67,0.585,1.10999999999991E-06,0.131,0.0354,0.447,0.784802242292121,0.354259499311351,5
2QtJA4gbwe1AcanB2p21aP,Stay The Night - Featuring Hayley Williams Of Paramore,62,0.109,0.596,0.738,0,0.0947,0.0411,0.461,0.966677047648708,0.535850279510654,1
2bDENJyfbxj0neGiXUFvIX,Legendary,73,0.0458,0.537,0.656,2.54000000000009E-06,0.112,0.0411,0.45,0.680784802242292,0.676739852548003,5
1sUTfgduT0WIQO8kXKXxLC,Blaze Of Glory - From ""Young Guns II"" Soundtrack,66,0.0598,0.553,0.611,2.33E-05,0.0958,0.0348,0.37,0.254749299283712,0.0368022360852305,5
6yFD0TSZvxydqGxLNDjZUO,Come A Little Closer,48,0.0644,0.579,0.57,0.00636,0.105,0.0227,0.368,0.680161943319838,0.0504233168597585,5
7vidktgNZFQylTgH1GEnMs,Cold as Ice,66,0.0987,0.516,0.486,1.47999999999988E-06,0.143,0.0272,0.471,0.0634278002699055,0.582242971724864,5
2NEBP8SXEqwZt2PRdPXXuy,Everything's Gonna Be Alright,66,0.0721,0.764,0.587,6.44999999999986E-06,0.094,0.0298,0.494,0.562545416796429,0.151209187393664,5
6sy3LkhNFjJWlaeSMNwQ62,Counting Stars,74,0.0654,0.664,0.705,0,0.115,0.0382,0.477,0.773279352226721,0.475654216965081,5
6sy3LkhNFjJWlaeSMNwQ62,Counting Stars,74,0.0654,0.664,0.705,0,0.115,0.0382,0.477,0.773279352226721,0.475654216965081,5
6sy3LkhNFjJWlaeSMNwQ62,Counting Stars,74,0.0654,0.664,0.705,0,0.115,0.0382,0.477,0.773279352226721,0.475654216965081,5
6sy3LkhNFjJWlaeSMNwQ62,Counting Stars,74,0.0654,0.664,0.705,0,0.115,0.0382,0.477,0.773279352226721,0.475654216965081,5
4ICSwxlVyGaTquNqblL7Y9,I'm Gonna Be Somebody,49,0.173,0.563,0.668,7.15000000000004E-06,0.12,0.0267,0.543,0.597425516453856,0.0137426071457506,7
2MGKDu7orDRI1eADeiJAT5,Slow Down,59,0.228,0.583,0.544,6.25000000000001E-05,0.0965,0.0319,0.421,0.655247586421675,0.800403062464555,5
5CG9Ps5ynNjpKJHmwc95pa,Somewhere On A Beach,66,0.000598000000000001,0.573,0.635,0,0.0845,0.0275,0.447,0.602096958372262,0.698594344972859,5
4oDZ5L8izBals6jKBJDBcX,Your Love,71,0.121,0.579,0.654,3.62000000000019E-06,0.0673,0.0553,0.616,0,0.551810742931216,7
6RSNKGdv3nDTHqgw4bdzyF,Yours,74,0.119,0.555,0.722,0,0.0861,0.034,0.559,0.666043807744213,0.597595803289314,7
0SuLAslEMFZAXf0SwY7syi,All Time Low,75,0.0508,0.584,0.569,0,0.0924,0.166,0.501,0.847295754178345,0.149173620675687,5
7ARveOiD31w2Nq0n5FsSf8,Perfect Places,68,0.00241,0.622,0.58,2.95E-05,0.112,0.0504,0.512,0.742032596283609,0.297344648788787,5
3JsPQbdGRRN6C7n8OsNTnj,Loyal (East Coast Version),53,0.0277,0.596,0.492,1.45000000000006E-06,0.08,0.089,0.546,0.676632409425932,0.24364011990602,5
3L3HRHCi6CmKmUrAJj1sa0,WD-40,45,0.0993,0.521,0.575,0,0.306,0.0374,0.471,0.786255579777847,0.422233249615166,5
4OKf7CcYuw5H2HptkcKxcP,You're My Best Friend - Remastered 2011,67,0.155,0.512,0.762,0.0108,0.0874,0.0495,0.553,0.559119692722932,0.444026978854411,7
02DurCgOvDdX0uKEjqcl3W,Who Are You,63,0.299,0.653,0.631,0.00265,0.0627,0.0461,0.516,0.112841274784595,0.823047476302358,5
12GEpg2XOPyqk03JZEZnJs,It Ain’t Me (with Selena Gomez),71,0.119,0.64,0.533,0,0.0864,0.0706,0.515,0.604692203882487,0.252359637041238,5
46ydq5g3k17iLJs3qMDvO6,Hurts So Good,72,0.084,0.675,0.609,0,0.0957,0.0586,0.378,0.767569812104225,0.455622620108564,5
2aksifNn5ph8igDOkPBA02,Love On The Brain,73,0.0717,0.509,0.637,1.08E-05,0.0789,0.0471,0.378,0.7880203467248,0.981902697885441,5
3NBDgwEAGMj0aKRsU8zoO9,Rivers,59,0.149,0.574,0.809,6.99000000000012E-06,0.129,0.0565,0.471,0.688674348593377,0.475532690593859,1
66hOCG7IpEJI5wfLDhajxD,Last Young Renegade,59,0.00111,0.582,0.843,0,0.102,0.0401,0.446,0.708502024291498,0.546311674633395,1
3GCdLUSnKSMJhs4Tj6CV3s,All The Stars (with SZA),84,0.0605,0.698,0.633,0.000194,0.0926,0.0597,0.552,0.775978407557355,0.221532447541116,7
0X0pZyLFGIhkPHQjCYchdM,Genius,31,0.0743,0.661,0.532,1.32999999999999E-05,0.067,0.0529,0.391,0.462057510640507,0.506957384752491,5
5NLuC70kZQv8q34QyQa1DP,Fight For Your Right,67,0.129,0.673,0.72,0.0133,0.0813,0.0376,0.6,0.208657739022111,0.59316009073969,7
25KybV9BOUlvcnv7nN3Pyo,In The Night,71,0.0796,0.505,0.68,0,0.0465,0.0713,0.539,0.771410775459358,0.941545815441951,7
000xQL6tZNLJzIrtIgxqSl,Still Got Time,69,0.131,0.748,0.627,0,0.0852,0.0644,0.524,0.663552372054396,0.4649801506927,5
